,Y,textlength,review_count,average_stars,funny_vote_count,useful_vote_count,cool_vote_count,fans
137,3.0,561,46,3.75,5,15,15,1
138,4.0,1022,332,3.87,211,375,338,81
139,4.0,1010,480,3.85,932,1183,1101,29
140,4.0,1176,480,3.85,932,1183,1101,29
141,3.0,406,1874,3.58,67,1467,84,324
142,2.0,1852,157,3.37,27,64,17,82
143,3.0,1225,157,3.37,27,64,17,82
144,4.0,1022,182,3.62,1432,1491,1469,43
145,1.0,380,70,4.25,39,181,96,13
146,5.0,108,108,4.23,437,602,570,21
147,3.0,1225,125,4.53,14,49,30,12
148,5.0,785,185,3.31,78,79,36,13
149,3.0,941,20,4.38,2,2,0,0
150,3.0,561,613,3.73,64,109,53,32
151,2.0,1852,613,3.73,64,109,53,32
152,5.0,326,100,3.88,8,19,2,14
153,4.0,191,8,2.5,0,0,0,1
154,3.0,941,534,3.86,2549,2578,2449,72
155,2.0,596,534,3.86,2549,2578,2449,72
156,4.0,322,41,4.02,12,141,15,7
157,4.0,1022,190,3.64,266,504,454,34
158,4.0,1022,560,4.35,137,234,230,29
159,3.0,561,102,4.16,57,106,66,11
160,2.0,557,140,3.99,50,144,101,6
161,4.0,1026,634,3.62,1021,1091,996,106
162,3.0,561,634,3.62,1021,1091,996,106
163,5.0,326,634,3.62,1021,1091,996,106
164,2.0,1852,634,3.62,1021,1091,996,106
165,4.0,1022,133,3.85,271,252,255,57
166,5.0,320,116,3.71,5,20,9,14
167,3.0,1225,165,4.03,0,0,0,10
168,3.0,941,165,4.03,0,0,0,10
169,3.0,733,1097,4.12,10678,12682,12238,178
170,4.0,1022,41,3.86,11,8,4,7
171,2.0,557,160,3.66,3,5,0,2
172,2.0,557,74,3.65,18,161,21,45
173,5.0,320,1299,3.79,978,1050,961,279
174,1.0,743,66,3.7,9,18,4,2
175,3.0,941,432,4.06,108,106,103,45
176,5.0,1636,432,4.06,108,106,103,45
177,4.0,191,336,4.05,916,977,925,73
178,3.0,406,252,4.3,1668,2483,2296,43
179,5.0,326,60,3.84,3,14,3,6
180,2.0,1852,39,3.86,0,1,0,1
181,2.0,557,142,3.2,7,62,3,9
182,4.0,268,719,3.78,9862,32670,23488,191
183,3.0,561,719,3.78,9862,32670,23488,191
184,3.0,1225,719,3.78,9862,32670,23488,191
185,4.0,322,150,3.31,110,629,14,2
186,4.0,1022,625,3.45,17172,17449,17413,57
187,3.0,561,395,4.27,0,0,0,13
188,1.0,559,861,4.09,3361,4950,4688,135
189,3.0,561,19,4.33,8,40,8,6
190,4.0,1022,247,4.1,479,372,1313,9
191,5.0,326,184,4.07,4,30,7,37
192,4.0,191,116,3.72,14,46,7,5
193,1.0,559,170,3.68,48,144,27,17
194,2.0,557,78,4.04,13,47,31,4
195,4.0,191,61,4.48,4,38,63,4
196,3.0,1225,34,3.43,26,49,19,9
197,2.0,557,151,3.95,4690,10978,8694,124
198,4.0,191,151,3.95,4690,10978,8694,124
199,3.0,561,405,3.74,36,203,60,31
200,5.0,1636,200,3.73,1302,1306,718,31
201,2.0,1293,79,3.22,265,711,100,7
202,1.0,559,79,3.22,265,711,100,7
203,4.0,1022,208,4.44,70,221,76,24
204,4.0,1022,109,3.69,31,40,23,6
205,2.0,737,137,3.8,9,86,22,10
206,5.0,785,231,3.31,1,21,1,2
207,2.0,1349,29,4.14,2,6,1,3
208,5.0,457,633,3.97,415,721,726,52
209,3.0,561,123,4.07,41,62,47,53
210,3.0,561,535,3.82,671,1491,980,125
211,3.0,561,385,3.19,463,602,475,32
212,2.0,1852,385,3.19,463,602,475,32
213,3.0,941,769,3.58,165,219,104,35
214,5.0,326,187,4.75,330,328,328,10
215,2.0,1852,187,4.75,330,328,328,10
216,5.0,1636,244,3.66,203,249,143,20
217,1.0,559,232,3.71,27,46,23,22
218,2.0,1852,159,3.99,3,35,12,3
219,5.0,326,859,3.42,10094,11146,11297,422
220,4.0,191,691,3.92,760,815,797,80
221,2.0,1852,403,3.36,903,1145,881,75
222,4.0,1022,420,4.0,383,684,3367,47
223,5.0,715,193,3.82,752,1112,820,35
224,4.0,1022,193,3.82,752,1112,820,35
225,3.0,561,105,3.33,22,74,36,6
226,5.0,326,453,3.56,7,6,0,53
227,2.0,1852,297,2.97,637,1137,996,14
228,4.0,1010,34,3.88,13,23,18,0
229,2.0,557,119,3.92,56,202,99,5
230,3.0,561,1117,3.88,49,39,36,193
231,5.0,326,1117,3.88,49,39,36,193
232,2.0,1852,1117,3.88,49,39,36,193
233,4.0,1010,993,4.02,842,3029,1864,329
234,4.0,1176,993,4.02,842,3029,1864,329
235,2.0,185,993,4.02,842,3029,1864,329
236,2.0,557,993,4.02,842,3029,1864,329
237,5.0,785,993,4.02,842,3029,1864,329
238,3.0,561,191,4.12,398,728,364,12
239,5.0,715,27,3.33,5,5,4,0
240,4.0,191,304,4.58,6,363,82,24
241,4.0,1022,384,3.94,1392,3012,1654,58
242,4.0,322,384,3.94,1392,3012,1654,58
243,3.0,1225,594,3.03,343,860,662,28
244,5.0,326,81,3.89,197,611,197,40
245,2.0,1852,81,3.89,197,611,197,40
246,1.0,559,317,4.12,27,204,119,16
247,4.0,201,88,4.87,18,241,46,4
248,5.0,326,820,3.8,450,768,654,93
249,3.0,561,820,3.8,450,768,654,93
250,3.0,941,820,3.8,450,768,654,93
251,5.0,108,820,3.8,450,768,654,93
252,2.0,1852,820,3.8,450,768,654,93
253,3.0,406,698,4.0,536,532,544,327
254,5.0,320,698,4.0,536,532,544,327
255,5.0,326,512,3.05,1907,994,1728,105
256,2.0,1852,512,3.05,1907,994,1728,105
257,1.0,559,450,3.59,143,532,229,29
258,5.0,326,175,3.69,11,38,12,22
259,4.0,455,2230,3.62,17,53,32,218
260,3.0,561,2049,3.78,865,1412,1496,192
261,2.0,1852,2049,3.78,865,1412,1496,192
262,3.0,561,440,4.07,1009,1449,2338,104
263,3.0,1225,440,4.07,1009,1449,2338,104
264,2.0,1852,440,4.07,1009,1449,2338,104
265,3.0,733,657,3.85,278,322,219,250
266,5.0,320,3734,3.6,564,1541,1756,304
267,4.0,1022,51,3.96,21,68,45,25
268,5.0,320,38,4.12,56,157,99,7
269,2.0,557,77,3.68,9,62,22,37
270,3.0,1225,127,3.91,65,312,217,12
271,3.0,561,195,3.42,570,858,611,34
272,3.0,561,760,3.64,72,183,230,56
273,2.0,1852,760,3.64,72,183,230,56
274,4.0,1022,620,4.12,2904,2870,3641,185
275,3.0,406,83,3.87,132,584,338,10
276,5.0,1636,1560,3.98,3253,17013,12759,272
277,3.0,406,563,3.52,296,1686,386,45
278,5.0,1636,2603,3.88,9643,57551,51975,1321
279,3.0,347,2603,3.88,9643,57551,51975,1321
280,4.0,1022,222,3.54,3928,4877,2806,36
281,4.0,1022,392,3.67,52,145,3,39
282,4.0,1026,582,3.45,5343,7222,5734,54
283,3.0,561,582,3.45,5343,7222,5734,54
284,2.0,1852,582,3.45,5343,7222,5734,54
285,3.0,561,230,3.69,170,444,432,88
286,5.0,1636,1017,4.17,3906,6563,8469,104
287,3.0,561,497,3.66,9,177,16,42
288,5.0,1636,497,3.66,9,177,16,42
289,2.0,1852,497,3.66,9,177,16,42
290,4.0,455,497,3.66,9,177,16,42
291,5.0,326,497,3.66,9,177,16,42
292,4.0,1010,828,3.6,474,491,461,55
293,1.0,559,107,3.68,238,369,240,20
294,4.0,1022,107,3.68,238,369,240,20
295,2.0,1852,67,3.55,159,207,163,10
296,3.0,561,438,3.71,535,866,726,27
297,2.0,557,169,4.13,93,133,120,60
298,4.0,322,631,3.94,45,16,18,62
299,4.0,1022,631,3.94,45,16,18,62
300,4.0,1022,191,3.9,25,196,48,29
301,1.0,559,253,4.0,31,91,19,14
302,1.0,559,252,3.04,1230,39072,111,44
303,4.0,322,252,3.04,1230,39072,111,44
304,4.0,1022,252,3.04,1230,39072,111,44
305,3.0,1225,162,3.72,167,453,322,35
306,2.0,557,130,3.43,80,180,108,10
307,3.0,406,951,3.81,1807,2821,2739,62
308,3.0,941,331,3.64,699,884,785,34
309,4.0,191,566,3.71,558,1646,1046,65
310,5.0,326,104,3.38,12,19,4,4
311,4.0,268,233,3.96,237,460,441,36
312,3.0,561,14,3.5,5,29,4,1
313,3.0,561,147,3.54,145,513,185,32
314,4.0,1022,439,3.69,296,414,265,38
315,4.0,1022,1210,3.21,213,1545,557,87
316,3.0,561,2,5.0,0,0,0,0
317,2.0,557,66,4.25,1,67,13,15
318,3.0,406,223,4.26,19,18,7,39
319,1.0,559,223,4.26,19,18,7,39
320,4.0,322,223,4.26,19,18,7,39
321,1.0,380,204,3.65,59,61,55,16
322,3.0,561,566,3.78,1120,1272,1273,108
323,5.0,320,537,3.66,3613,6577,7692,261
324,5.0,715,537,3.66,3613,6577,7692,261
325,4.0,322,537,3.66,3613,6577,7692,261
326,4.0,1022,537,3.66,3613,6577,7692,261
327,5.0,785,1885,3.67,993,2021,3010,425
328,3.0,709,1227,4.03,793,20264,3996,90
329,4.0,191,1227,4.03,793,20264,3996,90
330,5.0,715,1227,4.03,793,20264,3996,90
331,5.0,1636,377,4.06,327,384,341,39
332,2.0,185,182,3.29,71,269,70,14
333,2.0,1218,182,3.29,71,269,70,14
334,5.0,1636,1108,3.84,293,360,790,108
335,4.0,191,521,3.85,3392,3463,3448,309
336,3.0,561,521,3.85,3392,3463,3448,309
337,2.0,1852,521,3.85,3392,3463,3448,309
338,4.0,455,521,3.85,3392,3463,3448,309
339,5.0,1935,521,3.85,3392,3463,3448,309
340,4.0,191,271,3.96,652,1635,2073,113
341,1.0,559,271,3.96,652,1635,2073,113
342,4.0,322,271,3.96,652,1635,2073,113
343,5.0,1636,192,4.04,486,530,530,62
344,2.0,185,371,4.02,95,1366,270,58
345,4.0,1010,371,4.02,95,1366,270,58
346,2.0,1852,267,3.85,17,1764,4768,20
347,2.0,1852,395,3.65,594,3992,3582,51
348,1.0,559,289,4.09,4469,4783,4816,109
349,4.0,268,80,4.04,12,20,16,7
350,5.0,1636,420,3.62,162,437,247,28
351,2.0,557,486,4.3,494,866,499,39
352,5.0,1636,1454,3.96,2123,7800,2044,235
353,3.0,561,155,3.84,489,715,479,39
354,2.0,1852,155,3.84,489,715,479,39
355,4.0,1026,557,4.09,932,1449,1153,284
356,3.0,941,557,4.09,932,1449,1153,284
357,1.0,380,557,4.09,932,1449,1153,284
358,3.0,561,557,4.09,932,1449,1153,284
359,5.0,326,557,4.09,932,1449,1153,284
360,2.0,1852,557,4.09,932,1449,1153,284
361,4.0,1022,201,3.95,77,421,19,29
362,1.0,559,333,4.23,90,395,33,64
363,2.0,1852,746,3.6,8348,2384,1352,100
364,3.0,494,461,3.66,115,1746,992,35
365,4.0,268,398,3.56,231,19440,10336,57
366,3.0,347,246,3.69,790,853,725,63
367,3.0,941,670,4.28,2348,7361,6762,107
368,3.0,561,670,4.28,2348,7361,6762,107
369,2.0,557,210,3.82,25,40,7,5
370,2.0,557,103,3.82,22,32,6,7
371,5.0,1636,85,3.67,20841,36817,21024,76
372,4.0,1022,60,4.36,28,75,21,9
373,5.0,230,549,3.46,8,50,2,9
374,4.0,1022,21,4.24,12,23,17,16
375,3.0,561,7,3.5,2,10,0,0
376,4.0,1022,87,3.89,153,156,150,8
377,2.0,1852,51,3.8,12,28,5,26
378,2.0,557,102,4.16,5,12,0,3
379,4.0,191,307,3.64,426,500,374,28
380,4.0,1022,39,3.41,0,2,0,5
381,4.0,1138,136,3.68,4,14,1,0
382,4.0,1022,216,4.14,87,412,166,23
383,4.0,191,396,3.66,180,251,192,46
384,4.0,592,412,3.93,3,196,7,12
385,4.0,1022,37,3.33,1,1,0,4
386,2.0,1852,163,3.59,94,347,96,11
387,4.0,592,64,3.8,20,22,9,3
388,3.0,406,1169,3.87,1831,17645,10426,270
389,4.0,1010,457,3.93,79,349,80,25
390,4.0,592,457,3.93,79,349,80,25
391,4.0,1010,252,3.67,159,77,62,24
392,4.0,1010,110,3.75,20,72,11,17
393,5.0,1636,228,4.26,132,8094,22238,51
394,5.0,785,506,4.21,26,22,8,27
395,4.0,1010,95,3.98,5,6,6,8
396,4.0,191,240,3.22,28,86,28,5
397,5.0,457,842,3.96,1019,11738,7310,516
398,3.0,1854,842,3.96,1019,11738,7310,516
399,4.0,1022,227,4.52,20,40,2,28
400,2.0,557,32,4.28,6,14,2,2
401,5.0,326,8,5.0,0,0,0,0
402,3.0,561,343,4.03,257,310,303,33
403,4.0,1010,155,3.92,110,167,149,8
404,5.0,1213,292,3.59,7,12,2,14
405,4.0,191,173,4.16,18,98,19,7
406,5.0,785,290,3.98,215,403,271,22
407,4.0,322,223,3.48,262,1325,450,11
408,3.0,561,2,1.0,0,0,0,0
409,3.0,561,72,4.22,16,78,3,3
410,4.0,1010,63,4.43,7,11,1,8
411,1.0,1769,96,3.96,0,11,0,2
412,3.0,1225,302,3.06,13,205,8,27
413,3.0,347,705,3.61,405,380,369,51
414,2.0,1852,40,3.9,19,94,50,8
415,5.0,1935,106,3.5,21,84,59,17
416,3.0,941,1062,3.89,2203,2317,2239,104
417,2.0,1852,1062,3.89,2203,2317,2239,104
418,4.0,1176,1069,3.93,16718,18263,17834,361
419,5.0,913,1069,3.93,16718,18263,17834,361
420,1.0,559,126,3.63,8,11,2,14
421,5.0,785,699,3.73,5391,21244,35981,258
422,4.0,1010,699,3.73,5391,21244,35981,258
423,5.0,320,768,3.7,1142,1245,1341,133
424,4.0,1022,356,4.08,141,100,49,103
425,4.0,322,433,3.95,79,1001,345,52
426,1.0,559,433,3.95,79,1001,345,52
427,4.0,322,168,3.85,0,18,0,21
428,1.0,559,168,3.85,0,18,0,21
429,4.0,191,168,3.85,0,18,0,21
430,4.0,322,330,4.17,465,5517,1805,59
431,4.0,1022,330,4.17,465,5517,1805,59
432,4.0,99,330,4.17,465,5517,1805,59
433,4.0,191,330,4.17,465,5517,1805,59
434,2.0,557,214,3.62,25,112,9,3
435,4.0,1022,1010,4.32,195,447,230,524
436,4.0,455,1010,4.32,195,447,230,524
437,1.0,559,1010,4.32,195,447,230,524
438,2.0,1852,432,3.6,313,973,307,34
439,4.0,191,740,3.66,36,52,82,107
440,4.0,322,166,3.55,105,176,139,43
441,2.0,1852,123,3.75,92,294,99,44
442,5.0,326,123,3.75,92,294,99,44
443,2.0,1852,120,4.39,11,160,140,10
444,5.0,230,9,4.78,0,0,0,2
445,4.0,1022,524,3.67,20,119,8,50
446,4.0,1010,177,3.66,200,642,505,20
447,3.0,709,62,3.89,2,8,0,3
448,3.0,561,489,3.93,2505,1456,1404,101
449,4.0,268,489,3.93,2505,1456,1404,101
450,4.0,1138,351,3.24,93,393,113,13
451,2.0,557,190,3.41,311,4741,5214,100
452,4.0,1022,294,3.88,140,229,134,39
453,3.0,561,110,4.04,92,6646,776,31
454,4.0,1026,110,4.04,92,6646,776,31
455,3.0,941,110,4.04,92,6646,776,31
456,5.0,326,110,4.04,92,6646,776,31
457,2.0,1852,110,4.04,92,6646,776,31
458,4.0,1022,77,3.8,9,25,5,7
459,3.0,561,160,4.19,101,386,186,13
460,3.0,941,160,4.19,101,386,186,13
461,2.0,557,26,3.32,3,35,2,3
462,3.0,561,115,3.76,174,1017,231,10
463,4.0,1022,74,3.95,3,13,2,4
464,4.0,191,127,3.91,408,481,410,21
465,2.0,737,1266,3.67,425,1070,1429,49
466,5.0,715,42,3.7,4,3,1,2
467,1.0,559,21,4.04,1,3,3,3
468,1.0,380,137,3.63,692,725,716,14
469,2.0,557,184,4.04,95,128,33,10
470,3.0,406,1561,3.59,139,1126,242,119
471,3.0,406,133,4.02,21,355,7,35
472,3.0,561,514,4.06,245,255,267,46
473,2.0,1852,514,4.06,245,255,267,46
474,4.0,1022,81,4.07,71,128,53,8
475,2.0,557,61,3.97,1,2,0,3
476,3.0,561,665,3.37,435,497,223,38
477,4.0,1022,916,3.59,3454,3425,3351,401
478,1.0,559,16,2.75,0,1,0,2
479,5.0,108,406,3.59,120,157,153,66
480,3.0,406,1061,3.62,796,782,751,239
481,5.0,320,1061,3.62,796,782,751,239
482,4.0,268,1042,3.63,2183,4580,3763,115
483,5.0,326,1042,3.63,2183,4580,3763,115
484,1.0,559,287,3.79,2785,2311,4347,46
485,4.0,1138,336,3.85,633,565,511,166
486,4.0,268,35,4.61,180,265,301,2
487,5.0,326,229,4.07,743,1007,834,55
488,3.0,561,106,4.1,17,194,23,2
489,4.0,1022,115,3.79,1,2,4,14
490,3.0,561,141,3.91,404,730,461,11
491,2.0,557,1044,4.08,3599,22121,16325,394
492,2.0,737,1044,4.08,3599,22121,16325,394
493,5.0,1636,441,3.51,2037,2867,2022,152
494,5.0,326,441,3.51,2037,2867,2022,152
495,1.0,559,441,3.51,2037,2867,2022,152
496,2.0,1852,421,3.97,22,86,35,57
497,4.0,455,6252,3.33,959,1259,986,204
498,2.0,557,171,3.56,14,79,76,7
499,4.0,191,259,3.7,568,649,639,62
500,4.0,1010,218,3.59,25,59,38,14
501,4.0,1022,142,3.84,566,737,756,19
502,5.0,1636,1177,3.92,881,975,920,168
503,4.0,1022,637,3.54,113,221,151,88
504,4.0,1022,285,3.5,56,73,60,33
505,4.0,1138,993,3.78,146,167,120,199
506,5.0,1636,170,4.06,22,152,17,8
507,4.0,1022,150,3.57,79,108,87,42
508,2.0,596,1110,4.21,52,102,62,28
509,4.0,1022,85,2.96,1,5,1,13
510,2.0,557,262,3.33,3,8,2,24
511,1.0,559,110,3.74,255,156,81,11
512,4.0,1022,77,3.49,14,49,19,8
513,2.0,557,87,3.91,2,11,9,6
514,2.0,1852,473,4.17,182,321,145,144
515,3.0,709,1120,3.62,59091,61467,60587,240
516,4.0,455,1120,3.62,59091,61467,60587,240
517,3.0,561,530,3.49,31654,37168,31338,40
518,4.0,1026,530,3.49,31654,37168,31338,40
519,5.0,326,530,3.49,31654,37168,31338,40
520,4.0,1022,368,4.09,441,747,637,151
521,3.0,941,275,3.64,532,602,496,105
522,3.0,1225,275,3.64,532,602,496,105
523,5.0,326,275,3.64,532,602,496,105
524,2.0,1852,275,3.64,532,602,496,105
525,2.0,1852,99,4.3,12,36,41,5
526,2.0,557,480,3.43,72,311,42,67
527,4.0,455,733,4.1,2983,4243,3395,86
528,3.0,941,101,3.71,17,145,23,12
529,4.0,191,437,3.92,1119,935,599,94
530,2.0,557,104,4.2,23,357,65,13
531,2.0,185,76,4.14,8,56,10,4
532,3.0,561,109,4.17,241,398,833,9
533,2.0,1852,109,4.17,241,398,833,9
534,1.0,324,363,3.82,652,2350,2193,27
535,4.0,1026,137,4.24,69,2060,122,27
536,2.0,557,184,4.31,52,20,20,5
537,5.0,326,63,3.97,24,389,223,5
538,3.0,561,63,3.97,24,389,223,5
539,3.0,941,63,3.97,24,389,223,5
540,4.0,268,63,3.97,24,389,223,5
541,5.0,1636,1342,3.91,59,173,148,123
542,5.0,1582,891,4.07,923,2070,1769,284
543,1.0,380,853,3.5,3612,16003,6725,75
544,2.0,596,853,3.5,3612,16003,6725,75
545,2.0,1852,853,3.5,3612,16003,6725,75
546,2.0,557,238,3.33,488,1544,1195,12
547,4.0,191,174,3.7,5,17,3,10
548,4.0,322,174,3.7,5,17,3,10
549,3.0,561,127,3.81,354,464,363,20
550,2.0,1852,50,3.81,4,12,0,2
551,4.0,191,26,4.48,0,3,0,3
552,1.0,559,130,3.76,2,11,4,8
553,4.0,1022,261,3.79,588,1096,1450,29
554,3.0,561,1363,4.16,243,259,286,304
555,1.0,380,1363,4.16,243,259,286,304
556,2.0,1852,1363,4.16,243,259,286,304
557,4.0,191,184,3.93,60,193,74,21
558,3.0,561,166,3.82,43,180,56,11
559,3.0,941,166,3.82,43,180,56,11
560,5.0,320,1063,3.94,1574,5280,4069,218
561,4.0,1010,899,3.53,227,286,108,46
562,2.0,1852,138,3.52,36,53,6,9
563,5.0,320,3098,3.82,1798,20858,15261,1086
564,3.0,561,754,4.03,1554,2150,1840,101
565,2.0,1852,754,4.03,1554,2150,1840,101
566,2.0,1852,209,3.63,58,213,38,14
567,3.0,941,534,3.91,1508,1980,2634,60
568,2.0,1852,534,3.91,1508,1980,2634,60
569,2.0,1852,190,3.93,60,105,74,17
570,5.0,108,244,3.97,22,67,9,14
571,4.0,1022,164,4.01,172,202,153,43
572,4.0,191,94,4.13,6,44,4,0
573,3.0,561,173,3.56,9,124,18,16
574,2.0,1852,173,3.56,9,124,18,16
575,3.0,1225,131,4.03,252,923,667,10
576,2.0,1852,131,4.03,252,923,667,10
577,5.0,1636,592,3.73,2557,3316,2965,89
578,5.0,1636,833,3.45,869,874,935,93
579,3.0,561,757,4.17,64,327,215,44
580,3.0,941,757,4.17,64,327,215,44
581,4.0,455,757,4.17,64,327,215,44
582,2.0,1852,757,4.17,64,327,215,44
583,4.0,1010,192,3.47,282,332,318,20
584,3.0,561,327,3.69,28,66,7,18
585,3.0,709,354,3.88,489,721,731,94
586,4.0,1022,354,3.88,489,721,731,94
587,1.0,559,354,3.88,489,721,731,94
588,3.0,406,1239,3.46,615,865,998,88
589,5.0,320,1239,3.46,615,865,998,88
590,4.0,191,195,4.36,1331,1411,1478,100
591,5.0,785,619,4.04,4093,12730,10749,88
592,1.0,559,24,3.46,4,2,1,4
593,4.0,1010,400,3.44,282,499,464,27
594,2.0,1852,227,3.78,538,1166,860,33
595,3.0,733,3071,3.39,25290,42953,32681,1095
